mz	pval.BH.Time_point	pval.BH.Treatment	pval.BH.Genotype	pval.BH.Time_point:Treatment	pval.BH.Time_point:Genotype	pval.BH.Treatment:Genotype	pval.BH.Time_point:Treatment:Genotype	selected.var	Mean_Time_point.12h	Mean_Time_point.24h	Mean_Time_point.4h	Mean_Time_point.8h	Mean_Treatment.CON	Mean_Treatment.Pb	Mean_Genotype.I	Mean_Genotype.X
259.1897054	0.2452872551	0.4868166926	0.1165283224	0.9388978747	0.3405090176	0.7403015713	0.9997653318	no	14.2940557106452	14.1872803690625	14.36416898625	14.1868044174194	14.2038295036508	14.31288547	14.2054448353968	14.311270138254
259.5814812	0.3271349916	0.766814808	0.0106957386	0.9898202765	0.0525639073	0.9841488022	0.9997653318	no	14.4054770777419	14.42555927	14.3998494478125	14.3295083958065	14.3794419319048	14.4014728085714	14.3464808406349	14.4344338998413
259.6320516	0.7648242314	0.8401881076	0	0.998206491	0.4623210299	0.5968362757	0.9997653318	no	16.0836103848387	15.964236913125	15.9848420628125	16.074104333871	16.00672037	16.0450206380952	16.4544019468254	15.5973390612698
259.6442307	0.0105076291	0.8388489983	0.007643909	0.9388978747	0.9273432901	0.9677010212	0.9997653318	no	14.4680187890323	14.62509574125	14.384083465	14.5022467374194	14.483855734127	14.5061754709524	14.433475581746	14.5565556233333
259.6447146	0.4129663674	0.9059539263	0	0.9406230109	0.1832769655	0.8564139804	0.9997653318	no	15.5757173812903	15.75433711625	15.634040964375	15.6548908229032	15.6631742887302	15.6475709955556	15.890036097619	15.4207091866667
259.6502462	0.4776855688	0.882437625	1.6e-09	0.7499087935	0.1918981056	0.9566465312	0.9997653318	no	15.6995654906452	15.7335209546875	15.659310363125	15.5760008854839	15.679442134127	15.6556873869841	15.871437962381	15.4636915587302
259.6543293	4.4401e-05	0.8076080505	0.9132312194	0.9590157083	0.3251360242	0.781039815	0.9997653318	no	15.3609675980645	15.26675453125	15.6127326796875	15.4675035677419	15.4394987447619	15.4148853328571	15.4310796839683	15.4233043936508
259.6577449	0.0016380223	0.6197035217	0.0002396701	0.9476250645	0.0630448308	0.9461280572	0.9997653318	no	15.1058507745161	14.98713441625	15.4475442559375	15.3633734006452	15.2731499607937	15.1785272922222	15.3863750693651	15.0653021836508
259.9158074	0.0787882832	0.7703000546	6.13802e-05	0.9567600721	0.0813132865	0.8466121879	0.9997653318	no	13.9589690380645	13.84292487375	13.9392011775	13.9281828867742	13.9070884180952	13.9267170312698	13.8551181812698	13.9786872680952
259.9916832	0.0001424428	0.8362659178	0	0.9585496189	0.1145949223	0.8153199793	0.9997653318	no	14.3336262935484	14.58637938875	14.29321527125	14.4104035770968	14.3953391079365	14.4175490684127	14.6964352784127	14.1164528979365
260.0078398	0.513822179	0.4824211579	0.7415848923	0.9836611647	0.85665976	0.9916239828	0.9997653318	no	13.8582245345161	13.829807999375	13.89468313875	13.8700567054839	13.8396769547619	13.886679154127	13.867561737619	13.8587943712698
260.0103715	0.6689147756	0.7204211114	6.01e-08	0.9801495644	0.9129162066	0.7960352513	0.9997653318	no	14.4200353090323	14.44714729375	14.3073271025	14.3695030606452	14.3544717992063	14.417256298254	14.1781273793651	14.5936007180952
260.0583611	0.0578966645	0.7479336611	8.9743e-06	0.8941056306	0.0082360004	0.5413510452	0.9997653318	no	14.5158966951613	14.31147514875	14.6579435834375	14.5582608454839	14.5407388760317	14.480218	14.6973232298413	14.3236336461905
260.0959231	0.0025579182	0.8252184448	0.468915948	0.9493171709	0.5899378916	0.7674953556	0.9997653318	no	14.3713057383871	14.1680687459375	14.5413630153125	14.3656847132258	14.3460014387302	14.3769909479365	14.3377565644444	14.3852358222222
260.1028696	5.8772e-06	0.8173714173	0	0.8257840688	2.62e-08	0.978691356	0.9997653318	no	14.5558602345161	14.7289502	14.34995383125	14.43516611	14.5310340634921	14.5046285663492	14.7998094366667	14.2358531931746
260.1066051	0.83874706	0.9703668444	0	0.9567600721	0.9295782793	0.9841488022	0.9997653318	no	14.1930717629032	14.1679829009375	14.1484912690625	14.2229503451613	14.1847838263492	14.1806742496825	13.8308849761905	14.5345730998413
260.1237806	0.0007609204	0.812351641	0.0022205559	0.9836611647	0.1873581787	0.8564139804	0.9997653318	no	15.5149046067742	15.6822058090625	15.3547534934375	15.461890253871	15.5180924585714	15.4892621185714	15.4248472944444	15.5825072826984
260.1283363	0	0.5203171285	5.4e-09	0.9722171876	0	0.9677010212	0.9997653318	no	14.8397723596774	15.4483959175	14.4696323309375	14.5163585619355	14.7603511588889	14.8811879287302	14.5606916061905	15.0808474814286
260.1419602	0.0085272343	0.716013883	1.7e-07	0.9479224591	0.4691035131	0.9379951162	0.9997653318	no	15.4897921848387	15.5190557378125	15.671429435	15.5339354019355	15.5701379622222	15.5382918904762	15.4562803579365	15.6521494947619
260.1465721	0.5347796194	0.7800680637	0	0.9405069258	0.3725059922	0.8574340115	0.9997653318	no	14.2566042341935	14.36691305	14.2963136734375	14.3419183712903	14.3306933171429	14.3006948720635	14.5059447834921	14.1254434057143
260.1603084	0.7152860014	0.7990264793	0.0075707859	0.8877033634	0.6785550927	0.9461280572	0.9997653318	no	15.6529914712903	15.55414993	15.637932875625	15.7500945312903	15.6762007263492	15.6197090492063	15.5138875065079	15.7820222690476
260.1604053	0.6234327008	0.4929540325	0.682714986	0.9479224591	0.411919607	0.8401263143	0.9997653318	no	16.7621709909677	16.760487165	16.873189703125	16.7040939674194	16.8425013387302	16.7087982404762	16.7591006111111	16.7921989680952
260.1604088	0.9839489393	0.8682076342	0	0.8711533712	0.8161572087	0.7478277274	0.9997653318	no	17.1739504067742	17.13322203375	17.1466221059375	17.1629224416129	17.1680505355556	17.1398553496825	16.5326363060317	17.7752695792063
260.1604368	0.5307316119	0.4720538967	0.0855453711	0.8605713124	0.8412915522	0.9499678227	0.9997653318	no	17.7685789367742	17.580038683125	17.7863475396875	17.6823912745161	17.7890269877778	17.6189799277778	17.6225107449206	17.7854961706349
260.1605798	0.5629186757	0.6943699628	0.0051776376	0.8112264673	0.0572317966	0.6429830413	0.9997653318	no	16.5610991232258	16.7092329165625	16.558556265	16.600210323871	16.6426599419048	16.5727344496825	16.5051318960317	16.7102624955556
